ERROR 2024-03-05 19:19:19,541 basehttp 11300 7696 "GET /favicon.ico HTTP/1.1" 500 59
WARNING 2024-03-05 19:19:43,729 log 11300 19084 Not Found: /
WARNING 2024-03-05 19:19:43,729 basehttp 11300 19084 "GET / HTTP/1.1" 404 2209
WARNING 2024-03-05 19:19:44,019 log 11300 19084 Not Found: /favicon.ico
WARNING 2024-03-05 19:19:44,020 basehttp 11300 19084 "GET /favicon.ico HTTP/1.1" 404 2260
INFO 2024-03-05 19:19:51,565 basehttp 11300 19084 "GET /xadmin HTTP/1.1" 301 0
INFO 2024-03-05 19:19:51,680 basehttp 11300 19084 "GET /xadmin/ HTTP/1.1" 200 4151
INFO 2024-03-05 19:19:51,737 basehttp 11300 18780 "GET /static/xadmin/css/themes/bootstrap-xadmin.css HTTP/1.1" 200 1888
INFO 2024-03-05 19:19:51,738 basehttp 11300 20868 "GET /static/xadmin/vendor/font-awesome/css/font-awesome.css HTTP/1.1" 200 21658
INFO 2024-03-05 19:19:51,739 basehttp 11300 19084 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 200 126432
INFO 2024-03-05 19:19:51,740 basehttp 11300 12320 "GET /static/xadmin/css/xadmin.plugins.css HTTP/1.1" 200 175
INFO 2024-03-05 19:19:51,741 basehttp 11300 6216 "GET /static/xadmin/css/xadmin.main.css HTTP/1.1" 200 8376
INFO 2024-03-05 19:19:51,741 basehttp 11300 20604 "GET /static/xadmin/css/xadmin.responsive.css HTTP/1.1" 200 4361
INFO 2024-03-05 19:19:51,797 basehttp 11300 18780 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.mouse.js HTTP/1.1" 200 4561
INFO 2024-03-05 19:19:51,801 basehttp 11300 20604 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.core.js HTTP/1.1" 200 8195
INFO 2024-03-05 19:19:51,808 basehttp 11300 19084 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.widget.js HTTP/1.1" 200 15069
INFO 2024-03-05 19:19:51,809 basehttp 11300 20868 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.sortable.js HTTP/1.1" 200 42543
INFO 2024-03-05 19:19:51,817 basehttp 11300 6216 "GET /xadmin/jsi18n/ HTTP/1.1" 200 4158
INFO 2024-03-05 19:19:51,819 basehttp 11300 12320 "GET /static/xadmin/vendor/jquery/jquery.js HTTP/1.1" 200 240196
INFO 2024-03-05 19:19:51,819 basehttp 11300 18780 "GET /static/xadmin/vendor/bootstrap/js/bootstrap.js HTTP/1.1" 200 58327
INFO 2024-03-05 19:19:51,821 basehttp 11300 20604 "GET /static/xadmin/js/xadmin.main.js HTTP/1.1" 200 3401
INFO 2024-03-05 19:19:51,821 basehttp 11300 19084 "GET /static/xadmin/js/xadmin.responsive.js HTTP/1.1" 200 4165
INFO 2024-03-05 19:19:51,875 basehttp 11300 19084 "GET /static/xadmin/vendor/font-awesome/fonts/fontawesome-webfont.woff?v=4.0.3 HTTP/1.1" 200 44432
INFO 2024-03-05 19:23:40,296 basehttp 11300 19084 "POST /xadmin/ HTTP/1.1" 302 0
INFO 2024-03-05 19:23:40,497 basehttp 11300 19084 "GET /xadmin/ HTTP/1.1" 200 9819
INFO 2024-03-05 19:23:40,530 basehttp 11300 19084 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 200 790
INFO 2024-03-05 19:23:40,548 basehttp 11300 20604 "GET /static/xadmin/js/xadmin.page.dashboard.js HTTP/1.1" 200 3208
INFO 2024-03-05 19:23:40,549 basehttp 11300 12320 "GET /static/xadmin/js/xadmin.plugin.portal.js HTTP/1.1" 200 1000
INFO 2024-03-05 19:23:40,563 basehttp 11300 18780 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
ERROR 2024-03-05 19:24:00,289 basehttp 11300 18780 "GET /xadmin/xadmin/log/ HTTP/1.1" 500 59
INFO 2024-03-05 19:24:04,450 basehttp 11300 18780 "GET /xadmin/ HTTP/1.1" 200 9819
ERROR 2024-03-05 19:24:11,660 basehttp 11300 18780 "GET /xadmin/xadmin/userwidget/add/?user=1&page_id=home&_redirect=/xadmin/ HTTP/1.1" 500 59
INFO 2024-03-05 19:24:13,654 basehttp 11300 18780 "GET /xadmin/ HTTP/1.1" 200 9819
INFO 2024-03-05 19:25:18,240 basehttp 11300 18780 "GET /xadmin/auth/user/ HTTP/1.1" 200 29385
INFO 2024-03-05 19:25:18,289 basehttp 11300 18780 "GET /static/xadmin/css/xadmin.form.css HTTP/1.1" 200 3763
INFO 2024-03-05 19:25:18,291 basehttp 11300 12320 "GET /static/xadmin/js/xadmin.plugin.details.js HTTP/1.1" 200 2319
INFO 2024-03-05 19:25:18,292 basehttp 11300 19084 "GET /static/xadmin/js/xadmin.plugin.bookmark.js HTTP/1.1" 200 529
INFO 2024-03-05 19:25:18,301 basehttp 11300 20604 "GET /xadmin/jsi18n/ HTTP/1.1" 200 7722
INFO 2024-03-05 19:25:18,310 basehttp 11300 12320 "GET /static/xadmin/js/xadmin.page.form.js HTTP/1.1" 200 1948
INFO 2024-03-05 19:25:18,311 basehttp 11300 18780 "GET /static/xadmin/js/xadmin.page.list.js HTTP/1.1" 200 1105
INFO 2024-03-05 19:25:18,320 basehttp 11300 11904 "GET /static/xadmin/js/xadmin.plugin.actions.js HTTP/1.1" 200 4198
INFO 2024-03-05 19:25:18,323 basehttp 11300 7568 "GET /static/xadmin/js/xadmin.plugin.filters.js HTTP/1.1" 200 1990
INFO 2024-03-05 20:01:43,354 autoreload 17892 11208 Watching for file changes with StatReloader
WARNING 2024-03-05 20:01:54,357 log 17892 21368 Not Found: /
WARNING 2024-03-05 20:01:54,358 basehttp 17892 21368 "GET / HTTP/1.1" 404 2209
INFO 2024-03-05 20:02:10,210 basehttp 17892 21368 "GET /xadmin/ HTTP/1.1" 200 14368
INFO 2024-03-05 20:02:10,251 basehttp 17892 21368 "GET /static/xadmin/vendor/bootstrap/css/bootstrap.css HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,265 basehttp 17892 21368 "GET /static/xadmin/css/xadmin.page.dashboard.css HTTP/1.1" 304 0
INFO 2024-03-05 20:02:10,281 basehttp 17892 21368 "GET /static/xadmin/vendor/jquery-ui/jquery.ui.effect.js HTTP/1.1" 200 31918
